model,trial,seed,worst_start,max_R,band,actual_weighted_mass,actual_intersections,count_j1,weighted_j1,count_j2,weighted_j2,count_j3,weighted_j3,count_j4,weighted_j4,count_j5,weighted_j5
independent_square,21,16870189793694861261,76532,175.87231741115693,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,21,16870189793694861261,76532,175.87231741115693,(n+1)^2<=d<=n^3,121.466666666668,1420,0,0.0,0,0.0,74,59.19999999999992,414,-248.39999999999836,932,310.66666666666646
independent_square,21,16870189793694861261,76532,175.87231741115693,n^3<d<=n^4,55.00000000000017,207,0,0.0,0,0.0,0,0.0,15,-8.999999999999998,192,64.00000000000017
independent_square,21,16870189793694861261,76532,175.87231741115693,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,22,8681747571449753125,345859,92.47231741115694,d<=n,408.6000000000152,2353,952,952.0,822,-767.1999999999872,384,307.2000000000022,159,-95.3999999999998,36,12.000000000000004
independent_square,22,8681747571449753125,345859,92.47231741115694,n<d<=n^2,18.066666666669477,2227,0,0.0,343,-320.13333333333424,635,508.00000000000506,628,-376.80000000000285,621,207.0000000000015
independent_square,22,8681747571449753125,345859,92.47231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,22,8681747571449753125,345859,92.47231741115694,(n+1)^2<=d<=n^3,33.33333333333324,520,0,0.0,0,0.0,44,35.2,172,-103.19999999999973,304,101.33333333333297
independent_square,22,8681747571449753125,345859,92.47231741115694,n^3<d<=n^4,3.1999999999999993,18,0,0.0,0,0.0,0,0.0,3,-1.7999999999999998,15,4.999999999999999
independent_square,22,8681747571449753125,345859,92.47231741115694,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,23,7860091661239013041,666965,105.5389840778236,d<=n,418.40000000001504,2260,924,924.0,820,-765.3333333333206,404,323.20000000000243,108,-64.8000000000001,4,1.3333333333333333
independent_square,23,7860091661239013041,666965,105.5389840778236,n<d<=n^2,-43.80000000000058,2211,0,0.0,269,-251.06666666666732,565,452.00000000000426,754,-452.4000000000057,623,207.6666666666682
independent_square,23,7860091661239013041,666965,105.5389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,23,7860091661239013041,666965,105.5389840778236,(n+1)^2<=d<=n^3,98.60000000000018,636,0,0.0,0,0.0,27,21.60000000000001,135,-80.99999999999994,474,158.0000000000001
