n,exact_holes,max_depth,K3_r3_ratio,K3_r3_margin,K3_bonf_ratio,K3_bonf_margin,K3_best_r,K3_best_ratio,K3_best_margin,K5_r3_ratio,K5_r3_margin,K5_bonf_ratio,K5_bonf_margin,K5_best_r,K5_best_ratio,K5_best_margin,K7_r3_ratio,K7_r3_margin,K7_bonf_ratio,K7_bonf_margin,K7_best_r,K7_best_ratio,K7_best_margin,K9_r3_ratio,K9_r3_margin,K9_bonf_ratio,K9_bonf_margin,K9_best_r,K9_best_ratio,K9_best_margin,K11_r3_ratio,K11_r3_margin,K11_bonf_ratio,K11_bonf_margin,K11_best_r,K11_best_ratio,K11_best_margin
111853,9625,8,1.03760888547,-4206.66666667,1.42783832351,-47855,3,1.03760888547,-4206.66666667,0.932661618374,7532,0.93305499182,7488,3,0.932661618374,7532,0.923718758421,8532.28571429,0.913994260324,9620,2,0.913994260324,9620,0.920028171896,8945.08888889,0.913949558796,9625,2,0.913949558796,9625,0.918094067728,9161.42424242,0.913949558796,9625,2,0.913949558796,9625
111854,9613,8,1.0370363748,-4142.66666667,1.42579612709,-47627,3,1.0370363748,-4142.66666667,0.932723013929,7525.2,0.932715861748,7526,2,0.932715861748,7526,0.923820017932,8521.03571429,0.914075491265,9611,2,0.914075491265,9611,0.920131997465,8933.55555556,0.914057610814,9613,2,0.914057610814,9613,0.918199238076,9149.74242424,0.914057610814,9613,2,0.914057610814,9613
111855,9461,8,1.03870040082,-4328.83333333,1.42893925171,-47979,3,1.03870040082,-4328.83333333,0.934040796865,7377.86666667,0.934334629654,7345,3,0.934040796865,7377.86666667,0.925149587795,8372.39285714,0.915435161593,9459,2,0.915435161593,9459,0.921472938676,8783.64444444,0.915417281302,9461,2,0.915417281302,9461,0.919546138602,8999.16666667,0.915417281302,9461,2,0.915417281302,9461
111857,9584,8,1.0375971106,-4205.5,1.42640156629,-47696,3,1.0375971106,-4205.5,0.93296858191,7497.93333333,0.932932225967,7502,2,0.932932225967,7502,0.924091857078,8490.85714286,0.914328115362,9583,2,0.914328115362,9583,0.920399955101,8903.82222222,0.914319175376,9584,2,0.914319175376,9584,0.918465161552,9120.24242424,0.914319175376,9584,2,0.914319175376,9584
111858,9594,8,1.03756846478,-4202.33333333,1.42773874019,-47846,3,1.03756846478,-4202.33333333,0.932806474876,7516.13333333,0.932914945735,7504,3,0.932806474876,7516.13333333,0.923958756382,8505.82142857,0.914257362013,9591,2,0.914257362013,9591,0.920283653283,8916.91111111,0.914230542295,9594,2,0.914230542295,9594,0.918357663423,9132.34848485,0.914230542295,9594,2,0.914230542295,9594
111864,9649,7,1.03689152304,-4126.83333333,1.42723306873,-47792,3,1.03689152304,-4126.83333333,0.932299935636,7573.2,0.93167596367,7643,2,0.93167596367,7643,0.923489045371,8558.82142857,0.913743474219,9649,2,0.913743474219,9649,0.919807385158,8970.66666667,0.913743474219,9649,2,0.913743474219,9649,0.91787795895,9186.5,0.913743474219,9649,2,0.913743474219,9649
111865,9673,8,1.0369671777,-4135.33333333,1.42671970679,-47735,3,1.0369671777,-4135.33333333,0.932111026684,7594.4,0.932811871452,7516,3,0.932111026684,7594.4,0.923239108364,8586.85714286,0.913538640325,9672,2,0.913538640325,9672,0.919571110019,8997.17777778,0.913529700979,9673,2,0.913529700979,9673,0.917648843506,9212.21212121,0.913529700979,9673,2,0.913529700979,9673
111868,9540,8,1.03749806319,-4194.83333333,1.42647584653,-47709,3,1.03749806319,-4194.83333333,0.933282082454,7463.6,0.933251689491,7467,2,0.933251689491,7467,0.924425598537,8454.35714286,0.914738799299,9538,2,0.914738799299,9538,0.920759387055,8864.48888889,0.914720921086,9540,2,0.914720921086,9540,0.918838056974,9079.42424242,0.914720921086,9540,2,0.914720921086,9540
111870,9725,8,1.03635767707,-4067.33333333,1.42594976312,-47651,3,1.03635767707,-4067.33333333,0.931697506034,7641,0.932001430232,7607,3,0.931697506034,7641,0.922797188063,8636.67857143,0.913113435237,9720,2,0.913113435237,9720,0.919121996762,9047.82222222,0.913068740502,9725,2,0.913068740502,9725,0.917195960679,9263.28787879,0.913068740502,9725,2,0.913068740502,9725
111872,9646,8,1.03637043526,-4068.83333333,1.42601365847,-47659,3,1.03637043526,-4068.83333333,0.932277960526,7576.2,0.931993707094,7608,2,0.931993707094,7608,0.923473765937,8561.14285714,0.913785397597,9645,2,0.913785397597,9645,0.9198103388,8970.97777778,0.91377645881,9646,2,0.91377645881,9646,0.917890467894,9185.75757576,0.91377645881,9646,2,0.91377645881,9646
