n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,iteration,role
40014172755771,100000000,1.0000000274672316,-2.7467231600297737e-08,0.4766551374923438,1776.215087890625,1.000000014543566,1.0000000242363152,12.714627399982419,262144,1.0000018716096126,524288,1.0000009430765893,1048576,1.0000004836564522,3.205766250294891,5.037344915744344,5.1030707225661684,3.6185712401366636,1.8454815737552104,0.6852228195734333,0.18682045630540292,3,hi
40013977931440,100000000,0.9999999998814415,1.1855849635367122e-10,0.47996018116828054,1150.4898681640625,0.999999991510526,0.9999999977887126,12.65297890000511,262144,1.0000018475260632,524288,1.0000009195182946,1048576,1.0000004586535036,3.2057660948397264,5.037344417391438,5.1030699378815605,3.618570443921172,1.8454810109882864,0.6852225360400741,0.1868203535245523,3,mid
39000000000000,200000000,0.9998587676141059,0.0001412323858941411,0.7953976758872159,-80671.65606689453,0.9998593545776561,0.9998589143549934,13.340997299994342,262144,0.9998606278883447,524288,0.9998599912330004,1048576,0.9998594527939969,3.204944956992807,5.0347123786562795,5.098936203163064,3.6144043405616126,1.8425653473356463,0.6837685574355463,0.1862975367760266,0,lo
41000000000000,200000000,1.0001338232987842,-0.00013382329878419696,0.23573056620080024,25275.064086914062,1.0001336393984892,1.0001337773237104,13.253201599989552,262144,1.0001350903401205,524288,1.0001343648693048,1048576,1.0001340710965076,3.2065417350616876,5.039831239325674,5.106977066678648,3.622510772806472,1.848241169602488,0.6866003205743723,0.18731618466247946,0,hi
40026936680544,200000000,1.000001638120998,-1.638120997959902e-06,0.4197904019383713,16402.919962565124,1.0000015187740476,1.0000016082842604,13.434960799990222,262144,1.0000034781881972,524288,1.0000024984811224,1048576,1.0000020533826914,3.2057751393732836,5.037373412091367,5.1031157106454765,3.6186172940514716,1.8455145291503454,0.6852396065589672,0.1868265716536973,0,mid
39000000000000,200000000,0.9998587676141059,0.0001412323858941411,0.7953976758872159,-80671.65606689453,0.9998593545776561,0.9998589143549934,13.340997299994342,262144,0.9998606278883447,524288,0.9998599912330004,1048576,0.9998594527939969,3.204944956992807,5.0347123786562795,5.098936203163064,3.6144043405616126,1.8425653473356463,0.6837685574355463,0.1862975367760266,1,lo
40026936680544,200000000,1.000001638120998,-1.638120997959902e-06,0.4197904019383713,16402.919962565124,1.0000015187740476,1.0000016082842604,13.434960799990222,262144,1.0000034781881972,524288,1.0000024984811224,1048576,1.0000020533826914,3.2057751393732836,5.037373412091367,5.1031157106454765,3.6186172940514716,1.8455145291503454,0.6852396065589672,0.1868265716536973,1,hi
40015162056260,200000000,1.0000000599946839,-5.999468388750984e-08,0.455913997022435,5386.381022135436,1.000000020803604,1.000000050196914,13.360846300027333,262144,1.0000018775507218,524288,1.0000009491771629,1048576,1.0000004996870384,3.2057657457980406,5.0373432984454976,5.103068389594952,3.618569588187832,1.8454811769185742,0.6852230377658494,0.1868206720822957,1,mid
39000000000000,200000000,0.9998587676141059,0.0001412323858941411,0.7953976758872159,-80671.65606689453,0.9998593545776561,0.9998589143549934,13.340997299994342,262144,0.9998606278883447,524288,0.9998599912330004,1048576,0.9998594527939969,3.204944956992807,5.0347123786562795,5.098936203163064,3.6144043405616126,1.8425653473356463,0.6837685574355463,0.1862975367760266,2,lo
40015162056260,200000000,1.0000000599946839,-5.999468388750984e-08,0.455913997022435,5386.381022135436,1.000000020803604,1.000000050196914,13.360846300027333,262144,1.0000018775507218,524288,1.0000009491771629,1048576,1.0000004996870384,3.2057657457980406,5.0373432984454976,5.103068389594952,3.618569588187832,1.8454811769185742,0.6852230377658494,0.1868206720822957,2,hi
40014731004519,200000000,0.9999999906201917,9.37980826343221e-09,0.46909784607123584,3001.6458740234375,0.9999999687803436,0.9999999851602297,13.273700800025836,262144,1.0000018237661588,524288,1.0000008962732512,1048576,1.0000004407167404,3.205765401858825,5.037342195857001,5.103066655419873,3.618567817303211,1.8454798994168928,0.685222370236305,0.1868204173211173,2,mid
40014731004519,200000000,0.9999999906201917,9.37980826343221e-09,0.46909784607123584,3001.6458740234375,0.9999999687803436,0.9999999851602297,13.273700800025836,262144,1.0000018237661588,524288,1.0000008962732512,1048576,1.0000004407167404,3.205765401858825,5.037342195857001,5.103066655419873,3.618567817303211,1.8454798994168928,0.685222370236305,0.1868204173211173,3,lo
40015162056260,200000000,1.0000000599946839,-5.999468388750984e-08,0.455913997022435,5386.381022135436,1.000000020803604,1.000000050196914,13.360846300027333,262144,1.0000018775507218,524288,1.0000009491771629,1048576,1.0000004996870384,3.2057657457980406,5.0373432984454976,5.103068389594952,3.618569588187832,1.8454811769185742,0.6852230377658494,0.1868206720822957,3,hi
40014789285056,200000000,1.0000000195467496,-1.954674955229052e-08,0.45152764092199504,6160.672607421875,0.9999999747219568,1.0000000083405514,13.34638860000996,262144,1.0000018316375923,524288,1.0000009031797745,1048576,1.000000455760163,3.20576544836148,5.0373423449336086,5.103066897910128,3.6185681220060393,1.845480203074107,0.6852225879539193,0.18682052509460134,3,mid
39000000000000,400000000,0.9998587640595669,0.00014123594043313759,0.7953949024667963,-80671.02001953125,0.9998593510184892,0.9998589107992975,14.562482100038324,262144,0.9998606243324817,524288,0.9998599876754855,1048576,0.9998594492373915,3.2049449147579727,5.034712243295964,5.098935998184304,3.6144041580980866,1.8425652446733618,0.6837685192971593,0.18629752713513759,0,lo
41000000000000,400000000,1.0001338197324612,-0.00013381973246118228,0.2357295808615161,25275.308553059935,1.0001336358303874,1.0001337737569427,14.566053399990778,262144,1.000135086773596,524288,1.0001343613019917,1048576,1.0001340675294672,3.206541692826857,5.039831103897928,5.106976861445068,3.6225105898974657,1.848241066517905,0.6866002821989478,0.1873161749369738,0,hi
40026962570500,400000000,1.0000016374633225,-1.6374633224902624e-06,0.419675773475319,16413.951497395872,1.000001518036107,1.0000016076065186,14.563586699950974,262144,1.0000034772537787,524288,1.0000024976449429,1048576,1.0000020526257307,3.2057751177897726,5.037373342899479,5.1031156092769425,3.618617213897101,1.8455144950180604,0.6852396004270682,0.18682657260219535,0,mid
39000000000000,400000000,0.9998587640595669,0.00014123594043313759,0.7953949024667963,-80671.02001953125,0.9998593510184892,0.9998589107992975,14.562482100038324,262144,0.9998606243324817,524288,0.9998599876754855,1048576,0.9998594492373915,3.2049449147579727,5.034712243295964,5.098935998184304,3.6144041580980866,1.8425652446733618,0.6837685192971593,0.18629752713513759,1,lo
40026962570500,400000000,1.0000016374633225,-1.6374633224902624e-06,0.419675773475319,16413.951497395872,1.000001518036107,1.0000016076065186,14.563586699950974,262144,1.0000034772537787,524288,1.0000024976449429,1048576,1.0000020526257307,3.2057751177897726,5.037373342899479,5.1031156092769425,3.618617213897101,1.8455144950180604,0.6852396004270682,0.18682657260219535,1,hi
40015192615431,400000000,1.000000059680768,-5.968076810525247e-08,0.45749063789844496,5001.784993489622,1.0000000232879924,1.0000000505825741,14.539529300003778,262144,1.0000018776546047,524288,1.0000009504712986,1048576,1.0000005005269363,3.20576572794642,5.0373432412173855,5.103068306805333,3.6185695256408503,1.845481153608259,0.6852230360331232,0.18682067421211587,1,mid
39000000000000,400000000,0.9998587640595669,0.00014123594043313759,0.7953949024667963,-80671.02001953125,0.9998593510184892,0.9998589107992975,14.562482100038324,262144,0.9998606243324817,524288,0.9998599876754855,1048576,0.9998594492373915,3.2049449147579727,5.034712243295964,5.098935998184304,3.6144041580980866,1.8425652446733618,0.6837685192971593,0.18629752713513759,2,lo
40015192615431,400000000,1.000000059680768,-5.968076810525247e-08,0.45749063789844496,5001.784993489622,1.0000000232879924,1.0000000505825741,14.539529300003778,262144,1.0000018776546047,524288,1.0000009504712986,1048576,1.0000005005269363,3.20576572794642,5.0373432412173855,5.103068306805333,3.6185695256408503,1.845481153608259,0.6852230360331232,0.18682067421211587,2,hi
40014763816049,400000000,1.0000000123736472,-1.2373647217955863e-08,0.45223578577861184,6041.568033854186,0.9999999684154544,1.000000001384099,15.035902699979488,262144,1.0000018254326486,524288,1.0000008969240515,1048576,1.0000004491540753,3.205765385804722,5.037342144391311,5.103066590199613,3.618567835156124,1.8454800265299538,0.6852225125581586,0.186820501944953,2,mid
39000000000000,400000000,0.9998587640595669,0.00014123594043313759,0.7953949024667963,-80671.02001953125,0.9998593510184892,0.9998589107992975,14.562482100038324,262144,0.9998606243324817,524288,0.9998599876754855,1048576,0.9998594492373915,3.2049449147579727,5.034712243295964,5.098935998184304,3.6144041580980866,1.8425652446733618,0.6837685192971593,0.18629752713513759,3,lo
40014763816049,400000000,1.0000000123736472,-1.2373647217955863e-08,0.45223578577861184,6041.568033854186,0.9999999684154544,1.000000001384099,15.035902699979488,262144,1.0000018254326486,524288,1.0000008969240515,1048576,1.0000004491540753,3.205765385804722,5.037342144391311,5.103066590199613,3.618567835156124,1.8454800265299538,0.6852225125581586,0.186820501944953,3,hi
40014674920620,400000000,0.9999999665772257,3.342277432594187e-08,0.48028187453746796,1024.334716796875,0.9999999591242097,0.9999999647139717,15.560824499989394,262144,1.0000018136132112,524288,1.0000008863687104,1048576,1.000000425541341,3.2057653148740206,5.037341917004131,5.103066217706755,3.618567357745902,1.8454795428395858,0.6852221636484368,0.18682032955533437,3,mid
