max_R,min_certificate,worst_start,fail_windows,R_median,R_q90,R_q99,R_q999,model,trial,seed
100.5389840778236,-80.26666666666667,15852,24583,-0.8610159221764029,8.47231741115693,34.47231741115693,54.805650744490265,uniform,17,17052203730736473688
101.40565074449027,-81.13333333333334,962306,20052,-0.8610159221764029,7.938984077823596,25.005650744490264,84.43171741115327,uniform,18,8057768030829828420
170.7389840778236,-150.46666666666667,858649,20543,-0.9943492555097357,8.205650744490264,28.872317411156928,54.138984077823594,uniform,19,17892911531743763324
92.80565074449026,-72.53333333333333,283868,18995,-1.0610159221764022,7.938984077823596,25.07231741115693,48.47231741115693,uniform,20,17808163220771216140
162.27231741115693,-142.0,204702,19598,-0.72768258884307,8.27231741115693,26.07231741115693,54.138984077823594,uniform,21,5053919419842168106
171.60565074449028,-151.33333333333334,654668,17419,-0.9276825888430693,8.47231741115693,24.27231741115693,52.60565074449026,uniform,22,5268627978043286199
102.5389840778236,-82.26666666666667,645652,18861,-0.8610159221764029,8.205650744490264,24.538984077823596,59.69838407781993,uniform,23,17810266434497161093
181.00565074449025,-160.73333333333332,877150,17070,-0.8610159221764029,7.87231741115693,24.605650744490262,90.67231741115694,uniform,24,5457879368817183138
69.00565074449027,-48.733333333333334,190083,17756,-0.9276825888430693,8.005650744490262,24.338984077823596,51.1650507444866,uniform,25,14522195495049473902
101.60565074449026,-81.33333333333333,677986,16941,-0.8610159221764029,7.605650744490264,23.67231741115693,49.338984077823596,uniform,26,15164071724502618051
172.1389840778236,-151.86666666666667,536500,18063,-1.0610159221764022,7.738984077823597,26.138984077823597,55.07231741115693,uniform,27,1095734666785547918
171.40565074449026,-151.13333333333333,879909,21775,-0.8610159221764029,7.938984077823596,26.738984077823595,91.7389840778236,uniform,28,8831732822205739675
99.07231741115693,-78.8,266232,18111,-0.9276825888430693,8.27231741115693,24.405650744490263,92.27231741115693,uniform,29,2060645563191172025
