n,cutoff,M_extrapolated,margin_1_minus_M,fit_a_over_G,fit_b_over_G2,richardson_12,richardson_23,seconds,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3,E1_extrapolated,E2_extrapolated,E3_extrapolated,E4_extrapolated,E5_extrapolated,E6_extrapolated,E7_extrapolated,E8_extrapolated,E9_extrapolated,iteration,role
32000000000000000000000000,400000000,0.9999875444822867,1.245551771333897e-05,0.36404769032378675,-5535.665064493805,0.9999877055913442,0.9999875847595511,20.23372369998833,131072,0.9999899997276294,262144,0.9999888526594868,524288,0.9999882187095189,3.83441274384091,7.250236835044259,8.944075876230567,7.948918719316004,5.32119894855741,2.751344607562845,1.1185476478866954,0.3627714244871435,0.09502391437695469,0,lo
32500000000000000000000000,400000000,1.000011903209132,-1.1903209131913783e-05,0.04537408711621538,32482.810638427734,1.0000109578349183,1.0000116668655785,19.460653399990406,131072,1.0000141401343712,262144,1.0000125489846448,524288,1.0000121079251116,3.834676709903107,7.251249024716126,8.945989766759,7.951277976072545,5.323291205958421,2.7527397892160876,1.1192649471414375,0.3630608905482423,0.09511695400016586,0,hi
32255668487775795112050688,400000000,0.9999996372372082,3.6276279180569304e-07,0.40700390579877405,-5841.968068440736,0.9999998072608565,0.9999996797431203,19.78729750000639,131072,1.000002402383285,262144,1.0000011048220707,524288,1.0000003922825955,3.8345482393967716,7.250756390109907,8.94505823822688,7.950128852004374,5.322270115343315,2.752056425583163,1.1189116380422166,0.36291716059052037,0.0950702345159892,0,mid
32255668487775795112050688,400000000,0.9999996372372082,3.6276279180569304e-07,0.40700390579877405,-5841.968068440736,0.9999998072608565,0.9999996797431203,19.78729750000639,131072,1.000002402383285,262144,1.0000011048220707,524288,1.0000003922825955,3.8345482393967716,7.250756390109907,8.94505823822688,7.950128852004374,5.322270115343315,2.752056425583163,1.1189116380422166,0.36291716059052037,0.0950702345159892,1,lo
32500000000000000000000000,400000000,1.000011903209132,-1.1903209131913783e-05,0.04537408711621538,32482.810638427734,1.0000109578349183,1.0000116668655785,19.460653399990406,131072,1.0000141401343712,262144,1.0000125489846448,524288,1.0000121079251116,3.834676709903107,7.251249024716126,8.945989766759,7.951277976072545,5.323291205958421,2.7527397892160876,1.1192649471414375,0.3630608905482423,0.09511695400016586,1,hi
32262894525961091508338688,400000000,0.9999999243528002,7.564719983754742e-08,0.4482261398225091,-10550.245005289704,1.000000231405342,1.0000000011159356,19.626100900000893,131072,1.0000027299417762,262144,1.000001480673559,524288,1.0000007408947473,3.834552053059826,7.250771013792124,8.945085871155944,7.950162619730442,5.3222994451659424,2.752075342863341,1.1189209399359095,0.36292071547222027,0.09507130689330563,1,mid
32262894525961091508338688,400000000,0.9999999243528002,7.564719983754742e-08,0.4482261398225091,-10550.245005289704,1.000000231405342,1.0000000011159356,19.626100900000893,131072,1.0000027299417762,262144,1.000001480673559,524288,1.0000007408947473,3.834552053059826,7.250771013792124,8.945085871155944,7.950162619730442,5.3222994451659424,2.752075342863341,1.1189209399359095,0.36292071547222027,0.09507130689330563,2,lo
32500000000000000000000000,400000000,1.000011903209132,-1.1903209131913783e-05,0.04537408711621538,32482.810638427734,1.0000109578349183,1.0000116668655785,19.460653399990406,131072,1.0000141401343712,262144,1.0000125489846448,524288,1.0000121079251116,3.834676709903107,7.251249024716126,8.945989766759,7.951277976072545,5.323291205958421,2.7527397892160876,1.1192649471414375,0.3630608905482423,0.09511695400016586,2,hi
32264391861322704274587648,400000000,0.9999999955096293,4.490370741905281e-09,0.4466354697942733,-10391.521708170563,1.0000002979427152,1.0000000711179007,19.579565199965145,131072,1.000002798201668,262144,1.0000015480721915,524288,1.0000008095950461,3.8345528431950964,7.250774043607263,8.94509159970713,7.950169671602567,5.322305679030953,2.7520794799294173,1.1189230544168696,0.3629215632212821,0.09507157752010946,2,mid
32264391861322704274587648,400000000,0.9999999955096293,4.490370741905281e-09,0.4466354697942733,-10391.521708170563,1.0000002979427152,1.0000000711179007,19.579565199965145,131072,1.000002798201668,262144,1.0000015480721915,524288,1.0000008095950461,3.8345528431950964,7.250774043607263,8.94509159970713,7.950169671602567,5.322305679030953,2.7520794799294173,1.1189230544168696,0.3629215632212821,0.09507157752010946,3,lo
32500000000000000000000000,400000000,1.000011903209132,-1.1903209131913783e-05,0.04537408711621538,32482.810638427734,1.0000109578349183,1.0000116668655785,19.460653399990406,131072,1.0000141401343712,262144,1.0000125489846448,524288,1.0000121079251116,3.834676709903107,7.251249024716126,8.945989766759,7.951277976072545,5.323291205958421,2.7527397892160876,1.1192649471414375,0.3630608905482423,0.09511695400016586,3,hi
32264480708701852325117952,400000000,1.0000000005462057,-5.462057472982451e-10,0.44610094081144763,-10344.909261067689,1.000000301622691,1.0000000758153271,19.566667500010226,131072,1.0000028018733136,262144,1.0000015517480023,524288,1.0000008137816647,3.8345528900781574,7.250774223382841,8.945091940306556,7.9501700959458566,5.32230606352104,2.7520797441769376,1.1189231951278393,0.3629216221226151,0.09507159714086305,3,mid
