model,trial,seed,worst_start,max_R,min_certificate,fail_windows,total_actual_weighted_mass,impossible_product_weighted_mass,impossible_product_intersections
uniform,19,17892911531743763324,858649,170.7389840778236,-150.46666666666667,20543,541.4666666666816,197.86666666666656,1365
uniform,20,17808163220771216140,283868,92.80565074449026,-72.53333333333333,18995,463.53333333335246,28.266666666666723,285
uniform,21,5053919419842168106,204702,162.27231741115693,-142.0,19598,533.0000000000165,178.6000000000029,1366
uniform,22,5268627978043286199,654668,171.60565074449028,-151.33333333333334,17419,542.333333333352,119.33333333333503,890
uniform,23,17810266434497161093,645652,102.5389840778236,-82.26666666666667,18861,473.2666666666838,113.66666666666963,1013
uniform,24,5457879368817183138,877150,181.00565074449025,-160.73333333333332,17070,551.7333333333512,188.40000000000262,1541
uniform,25,14522195495049473902,190083,69.00565074449027,-48.733333333333334,17756,439.7333333333497,59.80000000000079,794
uniform,26,15164071724502618051,677986,101.60565074449026,-81.33333333333333,16941,472.33333333334855,98.00000000000183,875
uniform,27,1095734666785547918,536500,172.1389840778236,-151.86666666666667,18063,542.8666666666813,188.53333333333475,1337
uniform,28,8831732822205739675,879909,171.40565074449026,-151.13333333333333,21775,542.1333333333524,166.26666666666907,1532
uniform,29,2060645563191172025,266232,99.07231741115693,-78.8,18111,469.80000000001615,86.86666666666744,773
uniform,30,10005628822224780695,626593,100.3389840778236,-80.06666666666666,15670,471.06666666668116,70.39999999999978,592
uniform,31,1149243824635878920,389722,98.40565074449027,-78.13333333333334,18911,469.13333333334526,92.40000000000325,1113
uniform,32,14010337148789434687,562389,134.60565074449025,-114.33333333333333,20731,505.33333333334417,148.26666666666745,1646
uniform,33,2695261746004246540,995252,97.40565074449027,-77.13333333333334,16339,468.1333333333521,55.06666666666655,490
uniform,34,1122265878850096961,408761,103.00565074449027,-82.73333333333333,20203,473.73333333334944,96.66666666666765,773
uniform,35,17241154326776197027,146500,172.80565074449026,-152.53333333333333,14388,543.5333333333483,164.40000000000222,1539
uniform,36,17168738959795029436,381398,94.87231741115693,-74.6,17577,465.6000000000193,106.73333333333535,967
uniform,37,2603053954296272380,288388,64.80565074449026,-44.53333333333333,16718,435.5333333333475,45.26666666666641,560
uniform,38,17251848433485109764,726851,110.80565074449026,-90.53333333333333,16459,481.5333333333491,79.86666666666663,654
uniform,39,2147676241649231079,884322,111.47231741115694,-91.2,17848,482.2000000000184,111.86666666666949,1044
uniform,40,13194349143828874386,201873,96.00565074449027,-75.73333333333333,18670,466.73333333334676,81.06666666666617,407
uniform,41,4593750618322779610,574870,97.1389840778236,-76.86666666666666,20348,467.86666666668617,106.6666666666689,1146
uniform,42,9226705772181374165,545199,167.60565074449028,-147.33333333333334,19161,538.3333333333512,142.53333333333566,898
