n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
109705,5,best_r_change,2,3,0.932370144175,7419.33333333,9465,8
109707,5,best_r_change,3,2,0.931663430775,7497,9531,8
109709,5,best_r_change,2,3,0.932469229203,7408.73333333,9450,8
109710,5,best_r_change,3,2,0.932330690001,7424,9460,8
109711,5,best_r_change,2,3,0.932098574133,7449.53333333,9495,8
109713,5,best_r_change,3,2,0.932460146017,7410,9453,8
109716,5,best_r_change,2,3,0.933222137154,7326.6,9378,8
109717,5,best_r_change,3,2,0.932790725229,7374,9379,8
109718,5,best_r_change,2,3,0.932259064146,7432.4,9467,8
109719,5,best_r_change,3,2,0.933083604481,7342,9387,8
109720,5,best_r_change,2,3,0.932675902297,7386.8,9425,8
109721,5,best_r_change,3,2,0.932246333883,7434,9486,8
109722,5,best_r_change,2,3,0.933360067565,7311.86666667,9362,8
109724,5,best_r_change,3,2,0.931983886843,7463,9435,8
109725,5,best_r_change,2,3,0.932065314802,7454.13333333,9488,8
109728,5,best_r_change,3,2,0.932086614173,7452,9494,8
109731,5,best_r_change,2,3,0.932270127251,7432.06666667,9460,8
109733,5,best_r_change,3,2,0.932563586159,7400,9384,8
109734,5,best_r_change,2,3,0.931793853014,7484.53333333,9525,8
109735,5,best_r_change,3,2,0.932491912334,7408,9427,8
109736,5,best_r_change,2,3,0.93197492163,7464.8,9499,8
109741,5,best_r_change,3,2,0.933434176835,7305,9344,8
109745,5,best_r_change,2,3,0.932286057072,7431.26666667,9474,8
109746,5,best_r_change,3,2,0.932972500137,7356,9364,8
109747,5,best_r_change,2,3,0.932956102065,7357.86666667,9403,8
109749,5,best_r_change,3,2,0.931853593199,7479,9485,8
109750,5,best_r_change,2,3,0.93262627183,7394.26666667,9438,8
109752,5,best_r_change,3,2,0.931691449814,7497,9514,8
109753,5,best_r_change,2,3,0.931157538594,7555.66666667,9592,8
109754,5,best_r_change,3,2,0.931720028427,7494,9501,8
109755,5,best_r_change,2,3,0.932697371418,7386.8,9431,8
109756,5,best_r_change,3,2,0.932650606801,7392,9441,8
109757,5,best_r_change,2,3,0.931420015732,7527.13333333,9571,8
109759,5,best_r_change,3,2,0.931814247579,7484,9505,8
109760,5,best_r_change,2,3,0.932624514091,7395.13333333,9451,8
109761,5,best_r_change,3,2,0.932170807482,7445,9488,7
109763,5,best_r_change,2,3,0.93309706671,7343.46666667,9395,8
109764,5,best_r_change,3,2,0.932209103167,7441,9469,8
109765,5,best_r_change,2,3,0.931923655081,7472.4,9497,8
